Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
Inactive Merchant,Merchant,Books,55393,1425.68,510,108.61,25-04-2014 00:00
Inactive Merchant,One-And-Done,Sports And Outdoors,5554,42.25,49,113.34,04-06-2014 00:00
Very High Volume,Low Engaged,Sports And Outdoors,6103945,171316.01,21574,282.93,13-02-2014 00:00
High Volume,Low Engaged,Home And Garden,33944498,1014219.8,582766,58.25,12-02-2014 00:00
Inactive Merchant,Casual Buyer,Home And Garden,33,14.13,38,0.86,20-06-2014 00:00
Medium Volume,Very Engaged,Other,86074,2736.59,4956,17.37,26-05-2014 00:00
Non Merchant,One-And-Done,Books,77808492,2558171.33,697105,111.62,24-01-2014 00:00
Non Merchant,Getting Engaged,Digital Games And Software,16936352,653311.66,391331,43.28,18-08-2014 00:00
New,One-And-Done,Electronics And Computers,43232,1335.57,688,62.84,13-02-2014 00:00
Medium Volume,New,Automotive,32818,1215.1,738,44.47,18-02-2014 00:00
Inactive Merchant,Guest,Home And Garden,0,0,311812,0,27-05-2014 00:00
High Volume,One-And-Done,Sports And Outdoors,3727079,116988.91,11264,330.88,20-11-2014 00:00
Medium Volume,Very Engaged,Clothing And Shoes,8859161,317631.75,48333,183.29,19-06-2014 00:00
High Volume,Super Engaged,Electronics And Computers,2535604,81618.41,41712,60.79,23-04-2014 00:00
High Volume,Low Engaged,Electronics And Computers,9654472,310353.84,162309,59.48,02-02-2014 00:00
High Volume,Guest,Other,339,31.62,2318,0.15,08-11-2014 00:00
Very Low Volume,Guest,Home And Garden,34,14.42,118,0.29,03-05-2014 00:00
New,Medium Engaged,Books,27119040,1060521.57,598854,45.28,28-04-2014 00:00
Non Merchant,New,"Movies, Music And Games",103758582,3273689.16,769654,134.81,13-02-2014 00:00
Very High Volume,Medium Engaged,Home And Garden,132737841,2864932.65,1662327,79.85,15-05-2014 00:00
Non Merchant,Medium Engaged,Books,724034840,26459690,12567557,57.61,27-11-2014 00:00
Medium Volume,Casual Buyer,Automotive,21329,690.53,264,80.79,06-06-2014 00:00
Very High Volume,Low Engaged,Other,25517477,744994.66,1832898,13.92,12-06-2014 00:00
Low Volume,New,Books,159599343,7016698.63,5338276,29.9,22-04-2014 00:00
High Volume,Casual Buyer,Sports And Outdoors,11876134,387560.53,48673,244,23-05-2014 00:00
High Volume,Low Engaged,Digital Games And Software,129825813,4725234.6,2679127,48.46,21-11-2014 00:00
Inactive Merchant,Guest,Electronics And Computers,3273,130.13,882,3.71,20-02-2014 00:00
Very Low Volume,New,Automotive,6341,231.73,883,7.18,06-11-2014 00:00
New,Low Engaged,Home And Garden,6342765,134054.95,86798,73.08,24-09-2014 00:00
New,Low Engaged,Automotive,4710,150.87,124,37.99,06-04-2014 00:00
High Volume,Medium Engaged,Clothing And Shoes,9803556,316473.73,33387,293.63,13-08-2014 00:00
Very High Volume,Very Engaged,Electronics And Computers,8411477,276693.55,263359,31.94,21-05-2014 00:00
High Volume,Super Engaged,Digital Games And Software,40115824,1468292.71,808406,49.62,18-12-2014 00:00
High Volume,Guest,Electronics And Computers,487950834,13224517.46,5243904,93.05,22-04-2014 00:00
High Volume,New,Electronics And Computers,4112962,137932.68,63650,64.62,27-06-2014 00:00
Very High Volume,Guest,Clothing And Shoes,2714,29.47,16,169.61,08-01-2014 00:00
New,Medium Engaged,Automotive,8106,259.71,128,63.33,26-01-2014 00:00
Inactive Merchant,Very Engaged,Digital Games And Software,1878,100.4,212,8.86,13-06-2014 00:00
Medium Volume,Low Engaged,Home And Garden,12217653,427363.55,219667,55.62,03-05-2014 00:00
Low Volume,One-And-Done,Other,2456,108.86,266,9.23,19-04-2014 00:00
Very Low Volume,Merchant,Electronics And Computers,16983,770.03,69201,0.25,11-12-2014 00:00
Low Volume,Very Engaged,Digital Games And Software,26214355,1083472.71,745433,35.17,21-04-2014 00:00
Very Low Volume,Guest,Clothing And Shoes,17206,200.55,189,91.04,13-08-2014 00:00
Non Merchant,One-And-Done,"Movies, Music And Games",32006878,893627.55,197724,161.88,15-11-2014 00:00
New,Merchant,Books,22706289,811398.4,357117,63.58,09-03-2014 00:00
Medium Volume,Merchant,Automotive,517227,15203.69,2483,208.31,08-03-2014 00:00
High Volume,New,Clothing And Shoes,4748696,157535.06,15746,301.58,18-12-2014 00:00
High Volume,Very Engaged,Books,508698925,17239139.75,7917553,64.25,09-09-2014 00:00
Medium Volume,Very Engaged,Automotive,129453,4148.67,1288,100.51,19-12-2014 00:00
High Volume,Very Engaged,Automotive,32578,998.29,561,58.07,19-07-2014 00:00
Low Volume,Guest,Home And Garden,4490899,155502.68,67189,66.84,12-07-2014 00:00
Medium Volume,Guest,Clothing And Shoes,12309179,394348.05,38448,320.15,05-04-2014 00:00
Medium Volume,Medium Engaged,Electronics And Computers,2824032,105514.43,58591,48.2,16-09-2014 00:00
Very Low Volume,Guest,Electronics And Computers,1555919,58835.12,59456,26.17,25-02-2014 00:00
Very High Volume,Low Engaged,Books,298920230,8300317.31,3866674,77.31,28-01-2014 00:00
High Volume,New,"Movies, Music And Games",15554782,570688.18,98605,157.75,05-02-2014 00:00
New,Casual Buyer,Home And Garden,3176431,70661.87,40985,77.5,06-11-2014 00:00
Very Low Volume,Guest,Grocery,3175235,106341.96,42755,74.27,14-11-2014 00:00
New,Super Engaged,Other,18475,661.68,911,20.28,03-10-2014 00:00
Very High Volume,New,Automotive,7119,180.29,172,41.39,13-07-2014 00:00
Medium Volume,Guest,"Movies, Music And Games",212547,5205.7,3495,60.81,15-10-2014 00:00
New,Casual Buyer,Other,85680,3361.28,5397,15.88,09-09-2014 00:00
New,One-And-Done,Digital Games And Software,3542627,103824.64,41535,85.29,28-09-2014 00:00
Very Low Volume,Low Engaged,Books,10498206,409218.18,289209,36.3,22-01-2014 00:00
Very High Volume,New,Home And Garden,54103880,1343840.74,852660,63.45,04-12-2014 00:00
Non Merchant,Low Engaged,Books,681188155,24434139.3,10638200,64.03,18-11-2014 00:00
Inactive Merchant,Casual Buyer,Electronics And Computers,0,0,14,0,25-05-2014 00:00
Very Low Volume,Guest,Digital Games And Software,55801,1547.38,5987,9.32,11-11-2014 00:00
Very Low Volume,Super Engaged,Books,8348172,353077.41,333504,25.03,10-02-2014 00:00
High Volume,New,Home And Garden,14906468,493156.11,259439,57.46,06-07-2014 00:00
Inactive Merchant,Casual Buyer,Digital Games And Software,14262,430.14,632,22.57,01-08-2014 00:00
High Volume,Guest,Home And Garden,5697799,168417.91,71630,79.54,24-12-2014 00:00
Medium Volume,New,"Movies, Music And Games",37075383,1301128.58,188725,196.45,17-05-2014 00:00
Medium Volume,One-And-Done,Digital Games And Software,21503820,772762.79,311768,68.97,17-03-2014 00:00
Medium Volume,Medium Engaged,Clothing And Shoes,12376397,433633.21,61535,201.13,28-02-2014 00:00
Very Low Volume,Getting Engaged,Digital Games And Software,5800260,239886.02,207894,27.9,10-11-2014 00:00
Inactive Merchant,Super Engaged,Clothing And Shoes,83,3,6,13.76,17-11-2014 00:00
Very Low Volume,Casual Buyer,Digital Games And Software,3777668,151194.33,120104,31.45,07-10-2014 00:00
Low Volume,Casual Buyer,Automotive,18678,671.78,249,75.01,12-03-2014 00:00
Medium Volume,Super Engaged,Electronics And Computers,1055644,40327.22,22995,45.91,18-03-2014 00:00
Low Volume,New,Sports And Outdoors,18782114,628348.1,87451,214.77,01-09-2014 00:00
Low Volume,Guest,Books,22552323,901023.08,616960,36.55,11-10-2014 00:00
Non Merchant,Low Engaged,Sports And Outdoors,29601319,888775.61,179205,165.18,01-08-2014 00:00
New,Low Engaged,Clothing And Shoes,1434322,44307.92,4782,299.94,12-02-2014 00:00
Unverified Merchant,Low Engaged,Clothing And Shoes,530,33.65,4,132.48,08-05-2014 00:00
Medium Volume,Casual Buyer,"Movies, Music And Games",35239656,1155496.59,149985,234.95,08-01-2014 00:00
High Volume,Low Engaged,Sports And Outdoors,25663112,847999.89,119578,214.61,03-10-2014 00:00
Medium Volume,Guest,Books,63842115,2330222.69,1022098,62.46,24-02-2014 00:00
Very Low Volume,Medium Engaged,Clothing And Shoes,356043,12809.15,4886,72.87,27-08-2014 00:00
Inactive Merchant,Guest,"Movies, Music And Games",0,0,155,0,25-02-2014 00:00
Very Low Volume,Getting Engaged,Automotive,10335,389.27,372,27.78,25-09-2014 00:00
Very High Volume,Guest,Books,469644,20302.42,31577,14.87,05-03-2014 00:00
Medium Volume,One-And-Done,"Movies, Music And Games",9513940,310935.12,39118,243.21,16-11-2014 00:00
Inactive Merchant,Merchant,Home And Garden,0,0,67,0,06-09-2014 00:00
Very High Volume,Low Engaged,Digital Games And Software,101572024,3234157.73,1799521,56.44,17-05-2014 00:00
Unverified Merchant,One-And-Done,Books,1443,18.22,13,110.98,14-10-2014 00:00
Very Low Volume,Very Engaged,Digital Games And Software,1712515,75099.65,71434,23.97,18-04-2014 00:00
Low Volume,Medium Engaged,Electronics And Computers,701828,27735.68,18057,38.87,23-12-2014 00:00
Medium Volume,Low Engaged,Clothing And Shoes,13847247,467658.17,60707,228.1,23-04-2014 00:00
Very Low Volume,Getting Engaged,Clothing And Shoes,742060,25288.2,7918,93.72,13-05-2014 00:00
Low Volume,Low Engaged,Electronics And Computers,855127,33503.34,21901,39.05,21-11-2014 00:00
Very Low Volume,Very Engaged,Books,9191467,375538.98,308354,29.81,15-06-2014 00:00
High Volume,Medium Engaged,Digital Games And Software,108140428,3953030.39,2243179,48.21,15-09-2014 00:00
Unverified Merchant,Very Engaged,Books,8508,296.99,157,54.19,08-02-2014 00:00
Medium Volume,Super Engaged,Other,38469,1225.4,2302,16.71,03-04-2014 00:00
Medium Volume,Casual Buyer,Digital Games And Software,72976400,2688236.47,1142663,63.87,01-06-2014 00:00
Medium Volume,Guest,Sports And Outdoors,89140,1824.08,1385,64.36,18-10-2014 00:00
Medium Volume,Getting Engaged,Electronics And Computers,3538962,133282.69,71062,49.8,19-04-2014 00:00
Medium Volume,Super Engaged,Home And Garden,3040608,106561.87,52054,58.41,01-04-2014 00:00
New,Super Engaged,Automotive,1824,63.65,118,15.45,23-02-2014 00:00
Inactive Merchant,Guest,Digital Games And Software,2963,238.19,875,3.39,02-11-2014 00:00
Very High Volume,Very Engaged,Other,17821364,522750.54,1321806,13.48,03-04-2014 00:00
Very Low Volume,New,Books,6118449,245560.79,201159,30.42,28-01-2014 00:00
Very High Volume,Getting Engaged,Automotive,12017,306.4,214,56.15,03-06-2014 00:00
Inactive Merchant,Merchant,"Movies, Music And Games",88586,2720.18,1727,51.29,08-09-2014 00:00
Very Low Volume,Super Engaged,Digital Games And Software,1057203,47599.74,54355,19.45,22-05-2014 00:00
Low Volume,One-And-Done,Digital Games And Software,15869838,577951.73,288305,55.05,07-08-2014 00:00
Very High Volume,Guest,Sports And Outdoors,19840,491.98,151,131.39,05-09-2014 00:00
Very Low Volume,Casual Buyer,Electronics And Computers,18033,735.26,681,26.48,19-12-2014 00:00
Inactive Merchant,New,Automotive,0,0,5,0,16-10-2014 00:00
Low Volume,Merchant,Automotive,143936,4602.65,1493,96.41,26-04-2014 00:00
Very High Volume,Super Engaged,Other,8446137,255605.87,519775,16.25,26-08-2014 00:00
Medium Volume,Guest,Books,969423,36205.66,62232,15.58,07-07-2014 00:00
Non Merchant,Super Engaged,Digital Games And Software,5047169,208049.26,153129,32.96,04-02-2014 00:00
New,Medium Engaged,"Movies, Music And Games",5278064,161073.55,27741,190.26,14-11-2014 00:00
High Volume,Guest,"Movies, Music And Games",261,11.16,778,0.33,14-06-2014 00:00
New,One-And-Done,Automotive,322,3.93,10,32.2,15-07-2014 00:00
Very High Volume,Very Engaged,"Movies, Music And Games",5330476,166439.18,27379,194.69,02-12-2014 00:00
Medium Volume,Guest,Grocery,453647446,13625513.12,1411125,321.48,21-11-2014 00:00
Non Merchant,New,Sports And Outdoors,22516443,770069.47,115726,194.57,04-11-2014 00:00
Very High Volume,Guest,Home And Garden,47236,3394.67,22652,2.09,13-01-2014 00:00
Low Volume,Merchant,Other,22900,977.13,27745,0.83,11-12-2014 00:00
Unverified Merchant,Super Engaged,Books,9170,323.45,188,48.78,08-02-2014 00:00
Very High Volume,Casual Buyer,Clothing And Shoes,525066,15016.19,1048,501.02,07-04-2014 00:00
Very Low Volume,Medium Engaged,Digital Games And Software,3018320,129686.8,121803,24.78,15-09-2014 00:00
Low Volume,Medium Engaged,Sports And Outdoors,13777100,493259.13,131210,105,14-03-2014 00:00
High Volume,Getting Engaged,Digital Games And Software,140732075,5084075.62,2754848,51.09,09-03-2014 00:00
Very High Volume,Medium Engaged,Books,271681385,7546566.09,3632355,74.79,08-08-2014 00:00
High Volume,Merchant,Automotive,57775,1704.25,516,111.97,15-02-2014 00:00
Non Merchant,Medium Engaged,Digital Games And Software,10727852,425866.12,278072,38.58,04-09-2014 00:00
Non Merchant,One-And-Done,Digital Games And Software,3263515,121330.84,61805,52.8,21-01-2014 00:00
Non Merchant,Medium Engaged,Clothing And Shoes,7576854,241626.4,43443,174.41,27-09-2014 00:00
Inactive Merchant,Low Engaged,Automotive,0,0,1,0,03-01-2014 00:00
New,Very Engaged,Electronics And Computers,149483,4886.72,2707,55.22,06-04-2014 00:00
Inactive Merchant,Getting Engaged,Digital Games And Software,9753,401.79,867,11.25,16-07-2014 00:00
Low Volume,Super Engaged,"Movies, Music And Games",21692519,809619.19,350793,61.84,07-08-2014 00:00
High Volume,Merchant,"Toys, Kids And Baby",180262638,46905.09,540119,333.75,02-07-2014 00:00
Very Low Volume,Casual Buyer,Automotive,4903,180.73,145,33.81,13-03-2014 00:00
Very High Volume,Guest,Sports And Outdoors,290394,7973.48,1541,188.45,13-01-2014 00:00
New,Guest,Clothing And Shoes,10209,125.25,197,51.82,26-05-2014 00:00
Very Low Volume,Getting Engaged,Home And Garden,231156,8807.28,6292,36.74,10-08-2014 00:00
New,Casual Buyer,Books,10525604,384933.06,157906,66.66,23-07-2014 00:00
Inactive Merchant,Getting Engaged,Sports And Outdoors,-1673,136.35,51,-32.8,26-12-2014 00:00
Very High Volume,One-And-Done,Automotive,1315,25.47,12,109.56,22-09-2014 00:00
Low Volume,Guest,Electronics And Computers,40561410,1370859.5,667892,60.73,16-12-2014 00:00
High Volume,New,Digital Games And Software,81205451,3098817.85,1529712,53.09,07-03-2014 00:00
High Volume,Guest,Other,148,3.47,4,36.96,07-05-2014 00:00
Very Low Volume,Guest,"Movies, Music And Games",31,1.99,1320,0.02,19-01-2014 00:00
Unverified Merchant,One-And-Done,"Movies, Music And Games",1172,9.16,14,83.71,18-12-2014 00:00
Non Merchant,Guest,Automotive,200,20.13,50,4,24-01-2014 00:00
Low Volume,Low Engaged,Other,34595,1183.98,2851,12.13,02-06-2014 00:00
Very Low Volume,Merchant,Automotive,10065,380.34,692,14.55,19-01-2014 00:00
New,Low Engaged,"Movies, Music And Games",6714883,194113.62,28812,233.06,17-08-2014 00:00
New,Casual Buyer,Digital Games And Software,9971836,297211.51,128934,77.34,06-09-2014 00:00
Non Merchant,Very Engaged,Digital Games And Software,6853456,275196.64,183809,37.29,17-01-2014 00:00
Low Volume,Super Engaged,Home And Garden,991155,36949.93,18918,52.39,28-02-2014 00:00
High Volume,Guest,Electronics And Computers,9215,763.88,1355,6.8,03-03-2014 00:00
Unverified Merchant,Guest,Books,970,24.47,12,80.79,03-10-2014 00:00
Very High Volume,Casual Buyer,Home And Garden,67317467,1467034.19,837563,80.37,28-11-2014 00:00
Very High Volume,Super Engaged,Clothing And Shoes,466166,11870.27,900,517.96,13-04-2014 00:00
Low Volume,Merchant,"Toys, Kids And Baby",30299665,152598.39,484963,62.48,19-02-2014 00:00
Very High Volume,Getting Engaged,Electronics And Computers,13419097,413729.69,344222,38.98,19-04-2014 00:00
Non Merchant,New,Books,385408555,14316181.43,6195347,62.21,02-10-2014 00:00
New,Super Engaged,Home And Garden,1110241,23617.95,14385,77.18,03-10-2014 00:00
New,Very Engaged,Home And Garden,2435590,51323.54,32802,74.25,22-07-2014 00:00
Non Merchant,Super Engaged,Automotive,136313,4016.95,1898,71.82,19-10-2014 00:00
Medium Volume,Low Engaged,Electronics And Computers,3349542,125192.05,68632,48.8,11-09-2014 00:00
Very High Volume,Casual Buyer,"Movies, Music And Games",3041424,90995.28,15300,198.79,07-05-2014 00:00
Very Low Volume,New,Sports And Outdoors,1224597,43575.34,11293,108.44,23-11-2014 00:00
Inactive Merchant,New,Sports And Outdoors,22931,652.14,173,132.55,08-06-2014 00:00
Very High Volume,One-And-Done,Other,599525,18633.15,37384,16.04,13-05-2014 00:00
Low Volume,Super Engaged,Other,5723,231.08,516,11.09,22-03-2014 00:00
Very High Volume,Guest,Electronics And Computers,743812484,18564304.23,7251723,102.57,10-11-2014 00:00
Inactive Merchant,Guest,Clothing And Shoes,3288,121.42,61,53.9,11-08-2014 00:00
New,Getting Engaged,Digital Games And Software,13535465,416568.91,203007,66.67,01-02-2014 00:00
New,Merchant,Automotive,14580,438.97,136,107.2,20-08-2014 00:00
Medium Volume,Super Engaged,Clothing And Shoes,6518016,240432.07,40966,159.11,04-10-2014 00:00
Very High Volume,Casual Buyer,Automotive,4297,106.99,82,52.4,18-02-2014 00:00
New,One-And-Done,Clothing And Shoes,1064423,32092.33,2789,381.65,17-04-2014 00:00
Unverified Merchant,Getting Engaged,Books,13221,404.57,127,104.1,05-05-2014 00:00
Low Volume,Casual Buyer,Other,16587,537.33,1220,13.6,03-06-2014 00:00
Unverified Merchant,Very Engaged,Clothing And Shoes,138,9.2,1,137.8,12-04-2014 00:00
Medium Volume,Medium Engaged,Books,684668374,26947382.29,14066698,48.67,06-05-2014 00:00
Unverified Merchant,Low Engaged,Automotive,486,0,1,486,27-08-2014 00:00
New,Getting Engaged,Books,23776113,899833.21,432055,55.03,23-09-2014 00:00
New,New,"Movies, Music And Games",6107960,190646.29,52514,116.31,20-05-2014 00:00
Inactive Merchant,Guest,Books,11348,298.41,132,85.97,17-11-2014 00:00
Inactive Merchant,One-And-Done,"Movies, Music And Games",20324,366.7,251,80.97,22-01-2014 00:00
Very High Volume,Merchant,Books,188065336,4822082.54,1744560,107.8,10-09-2014 00:00
Low Volume,Medium Engaged,Automotive,80948,2764.9,1338,60.5,04-11-2014 00:00
Non Merchant,Casual Buyer,Automotive,151057,3379.59,1654,91.33,09-03-2014 00:00
Medium Volume,One-And-Done,Automotive,3825,122.08,48,79.7,04-02-2014 00:00
Non Merchant,Merchant,"Movies, Music And Games",403549220,9853214.15,2903447,138.99,18-12-2014 00:00
Unverified Merchant,Merchant,"Movies, Music And Games",122079,345.27,1341,91.04,09-03-2014 00:00
Inactive Merchant,One-And-Done,Digital Games And Software,3037,160.03,289,10.51,20-05-2014 00:00
Non Merchant,New,Clothing And Shoes,6106595,202247.08,27408,222.8,23-04-2014 00:00
Very Low Volume,Super Engaged,Sports And Outdoors,242640,9249,4827,50.27,07-06-2014 00:00
Low Volume,Medium Engaged,"Movies, Music And Games",45102395,1563730.28,441534,102.15,21-11-2014 00:00
High Volume,Casual Buyer,Books,295628328,9618750.01,3558790,83.07,17-05-2014 00:00
Very High Volume,Getting Engaged,Sports And Outdoors,5879268,165840.26,21850,269.07,09-08-2014 00:00
Low Volume,Guest,Digital Games And Software,305043392,10451599.47,4149467,73.51,03-01-2014 00:00
Very Low Volume,New,Electronics And Computers,22656,907.5,917,24.71,14-11-2014 00:00
Low Volume,Super Engaged,Electronics And Computers,285320,11188.46,6553,43.54,02-05-2014 00:00
New,Super Engaged,Digital Games And Software,1613264,58293.6,36095,44.69,11-01-2014 00:00
Medium Volume,Very Engaged,Sports And Outdoors,26196790,938518.48,159364,164.38,21-03-2014 00:00
Inactive Merchant,One-And-Done,Books,6795,342.13,158,43,06-05-2014 00:00
Non Merchant,Very Engaged,Sports And Outdoors,18975494,609212.57,143161,132.55,15-12-2014 00:00
Very Low Volume,New,Digital Games And Software,4710989,194650.08,153061,30.78,23-09-2014 00:00
Medium Volume,New,Electronics And Computers,1542557,59470.43,28117,54.86,18-07-2014 00:00
High Volume,Getting Engaged,Other,1349483,42373.62,93562,14.42,04-01-2014 00:00
Unverified Merchant,Merchant,Automotive,40,0,1,40,23-02-2014 00:00
Unverified Merchant,Medium Engaged,"Movies, Music And Games",8016,106,106,75.62,18-03-2014 00:00
Very Low Volume,Guest,Digital Games And Software,22689113,839141.24,544789,41.65,27-01-2014 00:00
Unverified Merchant,Getting Engaged,Sports And Outdoors,203,2.76,3,67.69,19-06-2014 00:00
Low Volume,Super Engaged,Books,322887145,14433877.74,12513196,25.8,05-09-2014 00:00
New,Getting Engaged,Home And Garden,7363441,156717.54,96382,76.4,05-07-2014 00:00
Low Volume,New,Electronics And Computers,493954,19393.35,10788,45.79,10-01-2014 00:00
Medium Volume,Merchant,"Toys, Kids And Baby",107909252,107907.44,323591,333.47,26-06-2014 00:00
Unverified Merchant,Medium Engaged,Digital Games And Software,278,12.94,13,21.41,12-01-2014 00:00
High Volume,Getting Engaged,Home And Garden,36913946,1110010.62,615277,60,22-04-2014 00:00
New,Casual Buyer,Electronics And Computers,209931,6646.89,3301,63.6,22-04-2014 00:00
Unverified Merchant,Casual Buyer,Sports And Outdoors,359,11.01,2,179.5,12-02-2014 00:00
Medium Volume,Low Engaged,Other,222613,6673.75,12106,18.39,28-09-2014 00:00
Medium Volume,Medium Engaged,"Movies, Music And Games",84628775,2754181.09,433487,195.23,20-07-2014 00:00
Inactive Merchant,Casual Buyer,Clothing And Shoes,5945,168.28,19,312.89,05-12-2014 00:00
New,Super Engaged,Sports And Outdoors,621588,20817.13,3948,157.44,28-04-2014 00:00
Unverified Merchant,Merchant,Clothing And Shoes,850,26.47,6,141.67,26-03-2014 00:00
High Volume,Super Engaged,Other,423559,16333.81,24919,17,14-03-2014 00:00
High Volume,Getting Engaged,Automotive,37135,1124.93,640,58.02,06-01-2014 00:00
High Volume,Medium Engaged,Sports And Outdoors,26707427,878186.26,122402,218.19,11-12-2014 00:00
Medium Volume,Super Engaged,Digital Games And Software,30837313,1236925.32,706170,43.67,26-07-2014 00:00
New,New,Clothing And Shoes,2760961,86499.02,7270,379.77,28-11-2014 00:00
Very High Volume,Merchant,"Toys, Kids And Baby",99496096,23550.27,210930,471.7,26-12-2014 00:00
Very High Volume,One-And-Done,Digital Games And Software,9394522,278189.42,140580,66.83,09-04-2014 00:00
Very Low Volume,New,Clothing And Shoes,799211,26950.11,6579,121.48,26-03-2014 00:00
Low Volume,Getting Engaged,Books,226340149,9399160.69,6783232,33.37,04-12-2014 00:00
Unverified Merchant,One-And-Done,Digital Games And Software,311,16.82,4,77.67,28-07-2014 00:00
New,Getting Engaged,Automotive,5580,177.43,103,54.17,28-01-2014 00:00
High Volume,Casual Buyer,"Movies, Music And Games",14630056,487106.29,79762,183.42,08-08-2014 00:00
Medium Volume,Very Engaged,Digital Games And Software,50949995,2011211.22,1075453,47.38,27-04-2014 00:00
Non Merchant,Getting Engaged,"Movies, Music And Games",236675629,6323186.96,1579056,149.88,12-08-2014 00:00
Inactive Merchant,One-And-Done,Automotive,200,6.1,1,200,27-05-2014 00:00
New,Very Engaged,Automotive,6791,224.02,95,71.48,08-04-2014 00:00
Medium Volume,Getting Engaged,"Movies, Music And Games",76649623,2429583.6,346244,221.37,22-01-2014 00:00
Very High Volume,Casual Buyer,Electronics And Computers,5759967,170467.55,134938,42.69,13-04-2014 00:00
Very High Volume,Getting Engaged,Digital Games And Software,101215572,3147105.31,1645132,61.52,09-06-2014 00:00
Low Volume,New,Other,10328,433.97,1052,9.82,25-02-2014 00:00
Medium Volume,One-And-Done,Books,63806433,2282329.44,844331,75.57,12-05-2014 00:00
New,Very Engaged,Other,66487,2460.65,3419,19.45,17-11-2014 00:00
High Volume,New,Sports And Outdoors,11969872,418633.99,62250,192.29,22-07-2014 00:00
High Volume,Merchant,Home And Garden,20797806,617259.41,272661,76.28,11-09-2014 00:00
Very Low Volume,Low Engaged,Home And Garden,183837,7121.23,5237,35.1,04-01-2014 00:00
Medium Volume,New,Other,69117,3006.34,6738,10.26,06-05-2014 00:00
Low Volume,Medium Engaged,Clothing And Shoes,6950779,242838.7,56511,123,09-10-2014 00:00
High Volume,Guest,Digital Games And Software,275688711,8560671.8,3258222,84.61,04-01-2014 00:00
Medium Volume,Guest,Sports And Outdoors,19019768,612526.75,62418,304.72,14-10-2014 00:00
Low Volume,Low Engaged,Digital Games And Software,61927985,2450499.64,1559020,39.72,24-06-2014 00:00
Medium Volume,Guest,Electronics And Computers,4275,241.02,675,6.33,14-06-2014 00:00
Medium Volume,Guest,Automotive,0,0,7,0,17-10-2014 00:00
Very High Volume,Low Engaged,"Movies, Music And Games",6510006,201087.3,35776,181.97,13-02-2014 00:00
New,Guest,Grocery,90770293,2602244.84,206110,440.4,07-10-2014 00:00
Low Volume,Low Engaged,Books,275777510,11741963.86,9079038,30.38,02-05-2014 00:00
Low Volume,Getting Engaged,Automotive,58733,1956.56,856,68.61,14-12-2014 00:00
Very High Volume,Low Engaged,Clothing And Shoes,951482,25701.14,2325,409.24,17-01-2014 00:00
High Volume,Super Engaged,"Movies, Music And Games",18003411,622049.93,113423,158.73,22-09-2014 00:00
Very High Volume,Super Engaged,Sports And Outdoors,2078214,55760.67,7014,296.3,24-12-2014 00:00
New,Super Engaged,Books,18629896,754760.23,513206,36.3,22-12-2014 00:00
Very Low Volume,Super Engaged,Clothing And Shoes,140688,5377.64,2447,57.49,12-04-2014 00:00
Very Low Volume,Getting Engaged,"Movies, Music And Games",4720292,164135,63051,74.86,03-07-2014 00:00
Low Volume,Super Engaged,Sports And Outdoors,7710449,291115.85,104362,73.88,11-11-2014 00:00
